查驗登記證號,中文品名,英文品名,有效日期,發證日期,申請商名稱,申請商電話,申請商地址,成分
"1005049135","綜合B＋鋅錠","SUPER SUPPORT COMPLETE TABLETS","1151217","1001209","健業生物科技有限公司","02-86471113","新北市汐止區大同路3段196之7號8樓","乾燥維生素A醋酸鹽(維生素A醋酸鹽、明膠、玉米澱粉、蔗糖、二丁基羥基甲苯);;鹽酸硫胺明（維生素B1）;;核黃素（維生素B2）;;鹽酸吡哆辛(維生素B6);;維生素B12(維生素B12、檸檬酸、麥芽糊精、檸檬酸鈉);;L-抗壞血酸（維生素C）;;維生素E醋酸鹽;;生物素;;葉酸;;菸鹼醯胺;;本多酸鈣;;氧化銅;;氧化鋅;;硒酵母;;硫酸錳;;番茄萃取物(含番茄紅素);;碳酸鈣;;二氧化鈦;;食用黃色5號;;羥丙基甲基纖維素"
"1005050796","維他命C＋鈣","","1160102","1010102","濟生醫藥生技股份有限公司","03-5983811","新竹縣湖口鄉勝利村實踐路3號","鳳梨香料;;蔗糖素;;蔗糖;;D-山梨醇;;硬脂酸鎂;;L-抗壞血酸（維生素C）;;食用黃色五號鋁麗基;;碳酸鈣"
"1005051037","維生素B6錠 10毫克","VITAMIN B6 TABLETS 10MG","1151228","1001228","應傑實業股份有限公司","06-2925777","台南市南區彰南里新樂路1之6號","維生素B6;;微結晶纖維素;;乳糖;;馬鈴薯澱粉;;羧甲基澱粉鈉（甘醇酸澱粉鈉）;;糊化澱粉;;二氧化矽;;硬脂酸鎂"
"1005051964","婕凡希-韻護葉酸錠","J’FANCY FOLIC ACID TABLETS","1160105","1010105","永信藥品工業股份有限公司","0426875100","台中市大甲區中山路一段1191號","焦磷酸鐵;;維生素C 97%(抗壞血酸、玉米澱粉);;鹽酸吡哆辛(維生素B6);;維生素B12;;葉酸;;硝酸硫胺明（維生素B1）;;微結晶狀α-纖維素;;乳糖;;羧甲基澱粉鈉;;玉米澱粉;;二氧化矽;;硬脂酸鎂;;核黃素（維生素B2）;;羥丙基甲基纖維素;;二氧化鈦;;聚乙二醇;;食用藍色一號鋁麗基;;食用紅色七號鋁麗基;;純水;;酒精"
"1005056450","丰維寧　錠","Pro-Biotin Tablets","1160309","1010309","應傑實業股份有限公司","06-2925777","台南市南區彰南里新樂路1之6號","維生素B2;;維生素B6;;菸鹼醯胺;;本多酸鈣;;生物素;;馬鈴薯澱粉;;乳糖;;微結晶纖維素;;羧甲基澱粉鈉（甘醇酸澱粉鈉）;;羧甲基纖維素鈉;;糊化澱粉;;硬脂酸鎂;;二氧化矽"
"1005056636","渡邊口健美5B糖衣錠","Kogenmei-5B S.C. Tablets ’’Watanabe’’","1160301","1010301","人生製藥股份有限公司","04-23592345","台中市西屯區協和里工業區五路3號","維生素B2;;維生素B6;;維生素B1;;菸鹼醯胺;;葉酸;;微晶纖維素;;聚乙烯口比咯烷酮;;硬脂酸鎂;;明膠;;蔗糖;;棕櫚臘;;碳酸鈣;;滑石粉;;食用黃色五號鋁麗基;;二氧化鈦;;蟲膠"
"1005056671","渡邊維他命Ｂ群糖衣錠","Watanabe-B Complex","1160301","1010301","人生製藥股份有限公司","04-23592345","台中市西屯區協和里工業區五路3號","維生素B1;;維生素B2;;維生素B6;;維生素B12;;菸鹼醯胺;;本多酸鈣;;葉酸;;乳糖;;澱粉;;硬脂酸鎂;;聚乙烯吡咯烷酮;;明膠;;蔗糖;;棕櫚臘;;碳酸鈣;;滑石粉;;食用黃色四號;;食用黃色五號;;蟲膠;;二氧化鈦"
"1005058880","智慧風華膠囊","AminoEssence","1160227","1010227","湯生科技股份有限公司","02-28729912","台北市北投區石牌路2段315巷28弄7號1樓","L-抗壞血酸（維生素C）;;L-半胱氨酸鹽酸鹽;;本多酸鈣;;二氧化鈦;;羥丙基甲基纖維素;;食用藍色一號;;食用紅色六號;;明膠;;純水;;蟲膠"
"1015002759","速威B群糖衣錠","Speedy B-complex Tablets","1160308","1010308","永信藥品工業股份有限公司","0426875100","台中市大甲區中山路一段1191號","生物素;;硝酸硫胺明（維生素B1）;;核黃素（維生素B2）;;鹽酸吡哆辛(維生素B6);;維生素B12;;菸鹼醯胺;;葉酸;;本多酸鈣;;肌醇;;牛磺酸;;維生素C(維生素C、玉米澱粉);;羥丙基纖維素;;微結晶狀α-纖維素;;羧甲基澱粉鈉;;硬脂酸鎂;;羥丙基甲基纖維素;;阿拉伯膠;;明膠;;蔗糖;;食用黃色五號;;食用紅色七號;;磷酸氫鈣;;二氧化鈦;;二氧化矽;;滑石粉"
"1015004342","綜合維生素Ｂ膜衣錠","Vitamin B Complex F.C. Tablets","1160329","1010329","應傑實業股份有限公司","06-2925777","台南市南區彰南里新樂路1之6號","維生素B1;;維生素B2;;維生素B6;;維生素B12;;菸鹼醯胺;;葉酸;;乳糖;;澱粉;;微結晶纖維素;;糊化澱粉;;硬脂酸鎂;;二氧化矽;;羥丙基甲基纖維素;;聚乙二醇;;二氧化鈦;;食用黃色四號;;食用黃色五號;;食用紅色六號"
